5,Prashanth Fertility Research Centre,Prashanth Fertility Research Centre,"No.77, Harrington Rd, Chetpet, Chennai, Tamil Nadu 600031","No.77, Harrington Rd, Chetpet, Chennai, Tamil Nadu 600031",044 4227 7777,https://goo.gl/maps/AWrNzWmRTkqbr86u8
5,PSYMED HOSPITAL,PSYMED HOSPITAL,"49, Harrington Rd, Chetpet, Chennai, Tamil Nadu 600031","49, Harrington Rd, Chetpet, Chennai, Tamil Nadu 600031",090032 30000,https://goo.gl/maps/U3YsmbFCeGc3Q6kg6
5,Amma Mini Clinic,Amma Mini Clinic,"Saliman Colony, Perambur, Chennai, Tamil Nadu 600039","Saliman Colony, Perambur, Chennai, Tamil Nadu 600039",,https://goo.gl/maps/KYdGoX5ajiBycHMg9
5,Baby hospital Egmore,Baby hospital Egmore,"9, Tamil Salai, Egmore, Chennai, Tamil Nadu 600008","9, Tamil Salai, Egmore, Chennai, Tamil Nadu 600008",044 2819 1135,https://goo.gl/maps/xD7vkVJVG9MfRNwT8
5,Choolai 24 hours Hospital,Choolai 24 hours Hospital,"5, Thiru Narayana Guru Rd, Choolai, Chennai, Tamil Nadu 600112","5, Thiru Narayana Guru Rd, Choolai, Chennai, Tamil Nadu 600112",044 4380 5303,https://goo.gl/maps/42FitTLtb5HyrbWP9
5,Chennai Corporation Homeopathy Medical,Chennai Corporation Homeopathy Medical,"Shop No, 7, E VK Sampath Rd, Vepery, Periyamet, Chennai, Tamil Nadu 600007","Shop No, 7, E VK Sampath Rd, Vepery, Periyamet, Chennai, Tamil Nadu 600007",,https://goo.gl/maps/j98TeM9RkCQ4fK7P8
5,G.K.M Hospitals,G.K.M Hospitals,"113, P.B Road, Vepery, Purasaiwakkam, Chennai, Tamil Nadu 600087","113, P.B Road, Vepery, Purasaiwakkam, Chennai, Tamil Nadu 600087",044 4390 3333,https://g.page/GKM-Hospital?share
5,ARC Fertility hospitals,ARC Fertility hospitals,"22/2, ESI Hospital Road, Junction, near Peravallur, Peravallur, Perambur, Chennai, Tamil Nadu 600011","22/2, ESI Hospital Road, Junction, near Peravallur, Peravallur, Perambur, Chennai, Tamil Nadu 600011",078119 99999,https://goo.gl/maps/y95zJj5ZhARbs1Tu5
5,Red Cross Day Care Hospital,Red Cross Day Care Hospital,"50, Montieth Rd, Brindavanam Nagar, Egmore, Chennai, Tamil Nadu 600008","50, Montieth Rd, Brindavanam Nagar, Egmore, Chennai, Tamil Nadu 600008",044 2851 1711,https://goo.gl/maps/7vkBVnfm6WPb2kJV9
5,Government Maternity Hospital,Government Maternity Hospital,"Pantheon Rd, Egmore, Chennai, Tamil Nadu 600008","Pantheon Rd, Egmore, Chennai, Tamil Nadu 600008",044 2819 1982,https://goo.gl/maps/MfzdhtE5rf289Kws5
5,Mercury Hospital,Mercury Hospital,"36, Pantheon Rd, Egmore, Chennai, Tamil Nadu 600008","36, Pantheon Rd, Egmore, Chennai, Tamil Nadu 600008",044 2855 3122,https://goo.gl/maps/HsWYVqhrGEtJD4Sc7
5,Tuberclosis Hospital,Tuberclosis Hospital,"No 1, Sathyamurthy Road, M.S. Nagar, Mukta Gardens, Chetpet, Chennai, Tamil Nadu 600031","No 1, Sathyamurthy Road, M.S. Nagar, Mukta Gardens, Chetpet, Chennai, Tamil Nadu 600031",,https://goo.gl/maps/3fKEKsCN6N2TXdWPA
5,Urban Primary Health Centre,Urban Primary Health Centre,"1, 2nd St, Doss Puram, MS Colony, Jagannathapuram, Chetpet, Chennai, Tamil Nadu Ch-31","1, 2nd St, Doss Puram, MS Colony, Jagannathapuram, Chetpet, Chennai, Tamil Nadu Ch-31",,https://goo.gl/maps/n1uqn2bgh1LnbsLv9
7,Pay and use toilets,Pay and use toilets,"Gandhi Irwin Rd, Egmore, Chennai, Tamil Nadu 600008","Gandhi Irwin Rd, Egmore, Chennai, Tamil Nadu 600008",,https://goo.gl/maps/bvENccefiZvhDJUSA
7,SBM Toilet,SBM Toilet,"Egmore Railway Station, Egmore, Chennai, Tamil Nadu 600001","Egmore Railway Station, Egmore, Chennai, Tamil Nadu 600001",,https://goo.gl/maps/GvqG4uCSdmZFzeBC6
